SUM INSURED TABLE — Tamil Nadu Kharif 2026 notification (SIMULATED for this demonstration; say 'according to the district notification' when quoting).
Figures are rupees per hectare. Quote a figure ONLY as the policy ceiling: 'the policy covers up to X per hectare, that is the most it covers, not the amount you will receive; the survey decides the loss percentage'. Never state a payout.
Farmer premium share: two per cent of sum insured for food and oilseed crops, five per cent for commercial and horticultural crops.

[N1-Ariyalur] Ariyalur: Paddy 60,500; Groundnut 48,000; Sugarcane 107,500; Cotton 48,500; Maize 41,500; Black gram 24,500; Green gram 24,500; Red gram 31,500; Banana 158,000; Turmeric 134,500; Chilli 82,500; Tomato 70,000; Onion 62,500; Coconut 90,000; Ragi 27,500; Bajra 22,000; Jowar 22,500; Sesame 21,500; Tapioca 82,000; Brinjal 65,000; Okra 56,500; Mango 87,000.
[N1-Chengalpattu] Chengalpattu: Paddy 63,000; Groundnut 49,000; Sugarcane 106,000; Cotton 50,500; Maize 34,500; Black gram 23,500; Green gram 23,500; Red gram 33,500; Banana 152,500; Turmeric 124,500; Chilli 70,000; Tomato 68,000; Onion 64,000; Coconut 96,500; Ragi 30,500; Bajra 25,000; Jowar 22,000; Sesame 20,500; Tapioca 78,500; Brinjal 59,000; Okra 55,500; Mango 98,500.
[N1-Chennai] Chennai: Paddy 58,000; Groundnut 49,500; Sugarcane 104,500; Cotton 57,000; Maize 34,000; Black gram 28,500; Green gram 25,000; Red gram 31,000; Banana 160,000; Turmeric 123,000; Chilli 76,000; Tomato 69,500; Onion 70,000; Coconut 86,000; Ragi 26,000; Bajra 25,500; Jowar 23,500; Sesame 21,500; Tapioca 86,000; Brinjal 54,500; Okra 59,500; Mango 85,500.
[N1-Coimbatore] Coimbatore: Paddy 62,000; Groundnut 42,500; Sugarcane 99,500; Cotton 54,000; Maize 41,500; Black gram 26,000; Green gram 22,500; Red gram 32,500; Banana 152,000; Turmeric 125,000; Chilli 80,000; Tomato 65,000; Onion 64,000; Coconut 97,500; Ragi 29,500; Bajra 23,500; Jowar 22,000; Sesame 24,000; Tapioca 76,000; Brinjal 59,000; Okra 54,000; Mango 98,500.
[N1-Cuddalore] Cuddalore: Paddy 67,000; Groundnut 42,500; Sugarcane 108,500; Cotton 51,500; Maize 36,500; Black gram 24,000; Green gram 27,500; Red gram 34,500; Banana 167,500; Turmeric 121,000; Chilli 76,000; Tomato 73,500; Onion 59,000; Coconut 98,500; Ragi 26,500; Bajra 23,500; Jowar 25,000; Sesame 21,500; Tapioca 72,000; Brinjal 54,500; Okra 60,000; Mango 91,000.
[N1-Dharmapuri] Dharmapuri: Paddy 63,000; Groundnut 47,000; Sugarcane 114,500; Cotton 55,500; Maize 41,000; Black gram 25,000; Green gram 23,500; Red gram 32,000; Banana 172,000; Turmeric 134,500; Chilli 76,500; Tomato 76,500; Onion 68,000; Coconut 98,500; Ragi 28,000; Bajra 25,500; Jowar 22,500; Sesame 20,000; Tapioca 77,000; Brinjal 58,000; Okra 60,000; Mango 89,500.
[N1-Dindigul] Dindigul: Paddy 66,000; Groundnut 47,000; Sugarcane 112,000; Cotton 55,000; Maize 36,500; Black gram 28,000; Green gram 23,500; Red gram 31,500; Banana 162,000; Turmeric 122,000; Chilli 80,000; Tomato 66,000; Onion 60,000; Coconut 82,500; Ragi 26,000; Bajra 24,000; Jowar 24,000; Sesame 24,000; Tapioca 76,000; Brinjal 55,500; Okra 51,500; Mango 98,000.
[N1-Erode] Erode: Paddy 56,000; Groundnut 49,500; Sugarcane 116,500; Cotton 50,500; Maize 36,000; Black gram 25,500; Green gram 25,500; Red gram 31,500; Banana 157,000; Turmeric 131,000; Chilli 69,000; Tomato 69,000; Onion 70,500; Coconut 93,500; Ragi 29,500; Bajra 24,500; Jowar 25,500; Sesame 23,500; Tapioca 72,500; Brinjal 57,000; Okra 56,500; Mango 87,000.
[N1-Kallakurichi] Kallakurichi: Paddy 68,000; Groundnut 46,500; Sugarcane 121,000; Cotton 49,500; Maize 41,000; Black gram 26,500; Green gram 22,500; Red gram 30,500; Banana 159,000; Turmeric 130,500; Chilli 79,000; Tomato 71,500; Onion 67,500; Coconut 93,000; Ragi 28,000; Bajra 23,000; Jowar 21,500; Sesame 20,500; Tapioca 85,500; Brinjal 65,000; Okra 59,500; Mango 91,500.
[N1-Kancheepuram] Kancheepuram: Paddy 63,000; Groundnut 48,000; Sugarcane 108,000; Cotton 49,000; Maize 40,500; Black gram 26,500; Green gram 25,000; Red gram 30,500; Banana 175,500; Turmeric 131,000; Chilli 69,000; Tomato 65,500; Onion 65,500; Coconut 84,500; Ragi 28,500; Bajra 24,500; Jowar 24,000; Sesame 23,000; Tapioca 76,000; Brinjal 62,000; Okra 50,500; Mango 87,000.
[N1-Kanniyakumari] Kanniyakumari: Paddy 56,500; Groundnut 48,500; Sugarcane 120,500; Cotton 48,500; Maize 40,000; Black gram 24,500; Green gram 27,000; Red gram 30,500; Banana 180,000; Turmeric 131,000; Chilli 75,500; Tomato 68,000; Onion 68,500; Coconut 90,500; Ragi 30,000; Bajra 22,000; Jowar 23,000; Sesame 20,000; Tapioca 74,000; Brinjal 56,000; Okra 59,500; Mango 95,000.
[N1-Karur] Karur: Paddy 64,000; Groundnut 46,500; Sugarcane 105,000; Cotton 52,000; Maize 36,500; Black gram 28,500; Green gram 24,000; Red gram 31,000; Banana 158,500; Turmeric 133,000; Chilli 70,000; Tomato 63,000; Onion 66,000; Coconut 90,500; Ragi 28,500; Bajra 25,500; Jowar 24,500; Sesame 20,000; Tapioca 84,500; Brinjal 60,000; Okra 57,500; Mango 101,500.
[N1-Krishnagiri] Krishnagiri: Paddy 66,500; Groundnut 49,500; Sugarcane 107,500; Cotton 48,000; Maize 36,500; Black gram 27,500; Green gram 23,500; Red gram 31,000; Banana 151,500; Turmeric 132,000; Chilli 76,500; Tomato 66,000; Onion 62,000; Coconut 88,500; Ragi 27,500; Bajra 24,500; Jowar 23,000; Sesame 23,000; Tapioca 81,000; Brinjal 56,500; Okra 50,500; Mango 103,000.
[N1-Madurai] Madurai: Paddy 62,000; Groundnut 48,000; Sugarcane 108,000; Cotton 56,000; Maize 38,500; Black gram 25,500; Green gram 26,000; Red gram 31,500; Banana 164,000; Turmeric 133,500; Chilli 78,500; Tomato 64,000; Onion 65,500; Coconut 98,500; Ragi 30,500; Bajra 22,000; Jowar 24,000; Sesame 21,000; Tapioca 80,000; Brinjal 64,500; Okra 56,000; Mango 100,500.
[N1-Mayiladuthurai] Mayiladuthurai: Paddy 58,000; Groundnut 47,000; Sugarcane 105,000; Cotton 56,500; Maize 38,500; Black gram 24,000; Green gram 24,500; Red gram 32,500; Banana 165,000; Turmeric 141,500; Chilli 77,500; Tomato 69,500; Onion 61,500; Coconut 83,500; Ragi 26,000; Bajra 25,500; Jowar 23,000; Sesame 22,500; Tapioca 76,500; Brinjal 55,000; Okra 54,500; Mango 96,000.
[N1-Nagapattinam] Nagapattinam: Paddy 67,500; Groundnut 44,500; Sugarcane 117,500; Cotton 51,500; Maize 35,500; Black gram 26,000; Green gram 25,500; Red gram 32,500; Banana 157,500; Turmeric 124,500; Chilli 69,500; Tomato 74,500; Onion 69,500; Coconut 95,500; Ragi 29,000; Bajra 23,500; Jowar 26,000; Sesame 21,500; Tapioca 83,000; Brinjal 65,500; Okra 55,500; Mango 104,000.
[N1-Namakkal] Namakkal: Paddy 67,000; Groundnut 47,500; Sugarcane 119,500; Cotton 52,000; Maize 39,000; Black gram 25,500; Green gram 24,500; Red gram 29,500; Banana 160,000; Turmeric 124,000; Chilli 75,000; Tomato 71,000; Onion 66,000; Coconut 90,000; Ragi 26,500; Bajra 24,000; Jowar 22,500; Sesame 21,500; Tapioca 86,000; Brinjal 61,500; Okra 53,000; Mango 95,500.
[N1-Perambalur] Perambalur: Paddy 60,500; Groundnut 48,000; Sugarcane 101,000; Cotton 55,000; Maize 41,500; Black gram 27,000; Green gram 26,500; Red gram 30,000; Banana 166,000; Turmeric 119,500; Chilli 80,000; Tomato 63,500; Onion 66,500; Coconut 82,000; Ragi 28,000; Bajra 25,000; Jowar 26,000; Sesame 23,000; Tapioca 73,000; Brinjal 64,500; Okra 53,000; Mango 92,000.
[N1-Pudukkottai] Pudukkottai: Paddy 65,000; Groundnut 43,500; Sugarcane 105,000; Cotton 49,000; Maize 38,000; Black gram 24,500; Green gram 25,500; Red gram 33,500; Banana 174,500; Turmeric 128,500; Chilli 80,500; Tomato 74,000; Onion 61,000; Coconut 93,500; Ragi 27,000; Bajra 24,500; Jowar 24,500; Sesame 20,500; Tapioca 75,000; Brinjal 55,000; Okra 57,500; Mango 87,000.
[N1-Ramanathapuram] Ramanathapuram: Paddy 61,000; Groundnut 48,500; Sugarcane 108,500; Cotton 55,500; Maize 41,500; Black gram 25,500; Green gram 26,500; Red gram 30,000; Banana 162,000; Turmeric 120,000; Chilli 70,000; Tomato 73,500; Onion 66,500; Coconut 82,000; Ragi 29,000; Bajra 24,500; Jowar 25,500; Sesame 22,500; Tapioca 83,500; Brinjal 58,000; Okra 53,500; Mango 101,500.
